date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:52	102/102	---MCZ	200	added ('OK')	text/plain	date:Sat,%2002%20Nov%202024%2023:22:51%20GMT	https://usetola.com/robots.txt		(from )
19:22:53	188129/188129	---MCZ	200	added ('OK')	text/html	etag:%226igo4m9jca4102%22	https://usetola.com/	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/index.html	(from )
19:22:54	35420/35420	---M--	200	added ('OK')	font/woff2	etag:W/%228a5c-192e7305f40%22	https://usetola.com/_next/static/media/0654da54f4652c48-s.p.woff2	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/media/0654da54f4652c48-s.p.woff2	(from https://usetola.com/)
19:22:55	34092/34092	---M--	200	added ('OK')	font/woff2	etag:W/%22852c-192e7305f40%22	https://usetola.com/_next/static/media/1cf2d568bfb0d377-s.p.woff2	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/media/1cf2d568bfb0d377-s.p.woff2	(from https://usetola.com/)
19:22:56	37280/37280	---M--	200	added ('OK')	font/woff2	etag:W/%2291a0-192e7305f40%22	https://usetola.com/_next/static/media/97b7d9f6df27f456-s.p.woff2	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/media/97b7d9f6df27f456-s.p.woff2	(from https://usetola.com/)
19:22:57	38760/38760	---M--	200	added ('OK')	font/woff2	etag:W/%229768-192e7305f40%22	https://usetola.com/_next/static/media/f9847d94df2afb5c-s.p.woff2	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/media/f9847d94df2afb5c-s.p.woff2	(from https://usetola.com/)
19:22:58	10964/10964	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ad4-192e72f49e8%22	https://usetola.com/images/customers/homecourt.svg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/customers/homecourt.svg	(from https://usetola.com/)
19:22:59	14148/14148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223744-192e72f49e8%22	https://usetola.com/images/customers/bimbamboo.svg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/customers/bimbamboo.svg	(from https://usetola.com/)
19:22:59	5474/5474	---M--	200	added ('OK')	image/webp	etag:W/%221562-192e72f49e8%22	https://usetola.com/images/customers/sunnie_logo.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/customers/sunnie_logo.webp	(from https://usetola.com/)
19:23:00	6181/6181	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221825-192e72f49e8%22	https://usetola.com/images/customers/provencfo.svg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/customers/provencfo.svg	(from https://usetola.com/)
